"ï»¿Trade ID","Instrument","Date","Trade Decision","Story and View Building","Trade Bias","Opportunity","WHAT-IF","Confirmation","Executed","Outcome","Learnings","Risk Per Trade","PIP Size","Lot Size","Entry Price","Stop Loss","Target","No. Lots","Total Amt","Margin Amt","RR","Target PriceMovement","Target PipMovenment	","MaxProfitPerLot","MaxProfitAllLots","pnlPercentageAsPerAllLotsForTarget","SL PriceMovement","SL PipMovenment	","MaxLossPerLot","MaxLossAllLots","pnlPercentageAsPerAllLotsForSL","tradestate","duration","chartimage","comment","actualRR","actualPnL"
"1","usdinr","Sun Apr 17 14:03:40 IST 2022","Buy","Weekly - uptrend and currently on retracement
Price likely to move up toward supply zone and  reverse
Daily- price likely to hit next supply zone and reverse to continue downtrend","Buy on 3m till price move towards supply zone","3m if price retraces to demand zone and show reversal confirmation","no trade if price does not retraces to demand zone","","NO","","Price reversed before demand zone and went on to hit target","1000","0.0025","1000","76.136","76.108","76.25","10","761360","14980","4","0.114","45.6","114","1140","7.61","-0.028","-11.2","-28","-280","-1.87","No Confirmation","1","https://iili.io/VWxREu.png","","3","233"
"2","usdinr","Mon Apr 18 20:16:03 IST 2022","Sell","Weekly-strong uptrend with retracement touching demand zone with markup
Daily-downtrend with 2 LL
4H- fast move downside and slow move upside","bearish ","15m reversal from supply zone","no trade if no reversal confirmation from supply zoen","15m 19APR2022 10:45","NO","","Future price spot price confusion during entry lead to early exit","1000","0.0025","1000","76.217","76.286","75.953","1","76217","1866","4","0.264","105.6","264","264","14.15","-0.069","-27.6","-69","-69","-3.7","Target Early Exit","0","https://iili.io/VX1zPf.png","target did not met
zerodha trade id (84083,106899)","2.1","145"
"3","usdinr","Tue Apr 19 20:55:07 IST 2022","Sell","Weekly-strong uptrend with retracement touching demand zone with markup 
Daily-downtrend with 3 LL 
4H- inverted hammer on supply zone","bearish","15m reversal from supply zone above liquidity of equal high","no trade if no reversal","","NO","","Price reversed before extreme zone","1000","0.0025","1000","76.377","76.41","76.286","2","152754","3760","3","0.091","36.4","91","182","4.84","-0.033","-13.2","-33","-66","-1.76","No Confirmation","0","https://iili.io/VhSToG.png","","",""
"4","usdinr","Wed Apr 20 12:02:57 IST 2022","Sell","Weekly- strong uptrend, next move seems to be bullish
Daily- Downtrend with 3LL, price near supply zone
4H-Sluggish move upside compare to downside moves, price tapped in supply zone","Bearish wrt. LH in D/4H/1H/15m","15m above liquidity, reversal from supply zone ","no trade if no reversal from supply zone","","NO","","went on to tap higher timeframe supply zone","1000","0.0025","1000","76.297","76.321","76.166","4","305188","7530","5","0.131","52.4","131","524","6.96","-0.024","-9.6","-24","-96","-1.27","SL Exit","0","https://iili.io/VwcL4j.png","","0","-96"
"5","usdinr","Thu Apr 21 10:45:08 IST 2022","Sell","Weekly-Uptrend, near supply zone
Daily- 2 BoS upside and liquidity found near supply zone
4H- sluggish move upside and fast move down side","bearish","15 sell from supply zone","no sell if no reversal from supply zone","","NO","","","1000","0.0025","1000","76.218","76.273","76.036","4","304872","7432","3","0.182","72.8","182","728","9.8","-0.055","-22","-55","-220","-2.96","No Confirmation","0","https://iili.io/VNEcI2.png","","",""
"6","usdinr","Fri Apr 22 00:39:13 IST 2022","Sell","weekly-uptrend, price already tapped supply zone
Daily-downtrend with new lower high
4H- 2LL","bearish","15m sell","no trade of no reversal from supply zone","","NO","","","1000","0.0025","1000","76.142","76.16","76.04","4","304568","7430","6","0.102","40.8","102","408","5.49","-0.018","-7.2","-18","-72","-0.97","Target Exit","0","https://iili.io/VOIk7t.png","Missed due to waking up late","3","102"
"7","usdinr","Fri Apr 22 16:38:51 IST 2022","Buy","weekly-uptrend, price already tapped supply zone Daily-downtrend with new lower high 4H- 2LL","bearish","15m sell	","no trade of no reversal from supply zone","","NO","","3m supply zone,bad idea to long supply zone and impulse move towards zone","1000","0.0025","1000","76.38","76.3725","76.435","4","305520","7500","7","0.055","22","55","220","2.93","-0.0075","-3","-7.5","-30","-0.4","SL Exit","0","","3m supply zone, bad idea to long supply zone and impulse move towards zone
tradeIds
92982
93207
","0","-30"
"8","usdinr","Fri Apr 22 16:43:17 IST 2022","Sell","weekly-uptrend, price already tapped supply zone Daily-downtrend with new lower high 4H- 2LL","bearish","15m sell	","no trade of no reversal from supply zone","","NO","","3m supply zone not respected, and impulse move towards zone","1000","0.0025","1000","76.3825","76.445","76.2625","4","305530","7120","2","0.12","48","120","480","6.74","-0.0625","-25","-62.5","-250","-3.51","SL Exit","0","","tradeid 178367,239880","0","-250"
"9","usdinr","Fri Apr 22 16:45:28 IST 2022","Sell","weekly-uptrend, price already tapped supply zone Daily-downtrend with new lower high 4H- 2LL","bearish","15m sell	","no trade of no reversal from supply zone","","NO","","3m supply zone tested again but in first move it was impulse move towards zone","1000","0.0025","1000","76.3975","76.445","76.2625","3","229192.5","5565","3","0.135","54","135","405","7.28","-0.0475","-19","-47.5","-142.5","-2.56","SL Exit","0","","trade id 195935,
239881
","0","-142.5"
"10","usdinr","Fri Apr 22 16:49:21 IST 2022","Sell","weekly-uptrend, price already tapped supply zone Daily-downtrend with new lower high 4H- 2LL","bearish","15m sell	","no trade of no reversal from supply zone","","NO","","sell in demand zone bad idea,old supply zone already tested","1000","0.0025","1000","76.3975","76.425","76.2625","3","229192.5","5565","5","0.135","54","135","405","7.28","-0.0275","-11","-27.5","-82.5","-1.48","SL Exit","0","","trade id 336726,
340556
","0","-82.5"
"11","usdinr","Sat Apr 23 17:41:42 IST 2022","Buy","Weekly-Uptrend, mark up from demand zone
Daily- Mark up with Morning start (hammer)
4H- mark up with 2 equal highs, also big inverted H&S ","bullish with Morning start (hammer) at end of mark down","15 buy","","","NO","","","1000","0.0025","1000","76.42","76.37","76.5975","1","76420","1875","4","0.1775","71","177.5","177.5","9.47","-0.05","-20","-50","-50","-2.67","Ignore","0","https://iili.io/VkRXwP.png","","",""
"12","usdinr","Sat Apr 23 17:42:32 IST 2022","Buy","Weekly-Uptrend, mark up from demand zone
Daily- Mark up with Morning start (hammer)
4H- mark up with 2 equal highs, also big inverted H&S ","bullish with Morning start (hammer) at end of mark down","15 buy","","","NO","","","1000","0.0025","1000","76.42","76.37","76.5975","4","305680","7500","4","0.1775","71","177.5","710","9.47","-0.05","-20","-50","-200","-2.67","Watchful","0","https://iili.io/VkRXwP.png","","",""
"13","usdinr","Mon Apr 25 12:21:54 IST 2022","Sell","downtrend in daily,3H,1H, No BoS yet on upside","bearish","15m sell","no trade if no reversal from supply zone","","NO","","reversal sign on LTF made exit trade before original target","400","0.0025","1000","76.7275","76.795","76.465","4","306910","7440","4","0.2625","105","262.5","1050","14.11","-0.0675","-27","-67.5","-270","-3.63","Target Exit","1","https://iili.io/Vrskxt.png","tradeid 268326,121746,141264","3.2","885"
"14","usdinr","Tue Apr 26 14:29:33 IST 2022","Sell","Daily-downtrend, market near previous lower high at supply zone
3H,1H supply zone","bearish","15 semm","no trade if no reversal from supply zone","","NO","","gap up on expiry day lead to SL","400","0.0025","1000","76.6525","76.685","76.5175","4","306610","7455","4","0.135","54","135","540","7.24","-0.0325","-13","-32.5","-130","-1.74","SL Exit","1","https://iili.io/VicOPa.png","trade id 344381
Gap up","0","-160"
"15","usdinr","Wed Apr 27 14:05:15 IST 2022","Sell","D/3H/1H bearish","bearish","sell 15","no trade if price don't hit middle of supply zone","","NO","","on LTF price reversed from lower line of the zone itself","400.0","0.0025","1000.0","76.71","76.725","76.6325","4","306840.0","7440.0","5.0","0.0775","31.0","77.5","310.0","4.17","-0.015","-6.0","-15.0","-60.0","-0.81","No Confirmation","0","https://iili.io/VsOUXa.png","","0.0","0.0"
"16","usdinr","Wed Apr 27 16:11:53 IST 2022","Buy","weekly-bullish
daily/3H- reversal from demand zone","bullish","15 buy","no trade if no reversal from demand zone","","NO","","price hit SL immediately after entry order place.
did not got chance for putting SL order","400.0","0.0025","1000.0","76.615","76.59","76.7075","4","306460.0","7520.0","4.0","0.0925","37.0","92.5","370.0","4.92","-0.025","-10.0","-25.0","-100.0","-1.33","Breakeven Exit","0","https://iili.io/VsSnwP.png","472982,472982","0.0","0.0"
"17","usdinr","Wed Apr 27 21:24:14 IST 2022","Buy","daily - downtrend, price tapping supply zone
3H- uptrend with 3HL
1H- uptrend with HLs","bullish","15m buy","no trade if price does not retrace demand zone","","NO","","SL should be taken based on closing basis on time frame you have entered","400.0","0.0025","1000.0","76.815","76.7975","76.9275","4","307260.0","7545.0","6.0","0.1125","45.0","112.5","450.0","5.96","-0.0175","-7.0","-17.5","-70.0","-0.93","Target Early Exit","0","https://iili.io/VspqBf.png","exited due to reversal in LTF
(10735,57882)","4.0","300.0"
"18","usdinr","Thu Apr 28 13:08:56 IST 2022","Buy","daily - downtrend, price tapping supply zone 3H- uptrend with 3HL 1H- uptrend with HLs","bullish","15m buy","no trade if price does not retrace demand zone
","reversal confirmation on 1m","NO","","","400.0","0.0025","1000.0","76.745","76.705","76.915","4","306980.0","7525.0","4.0","0.17","68.0","170.0","680.0","9.04","-0.04","-16.0","-40.0","-160.0","-2.13","SL Exit","0","https://iili.io/VLrZCP.png","","0.0","-160.0"
"19","usdinr","Thu Apr 28 17:24:04 IST 2022","Sell","bearish","bearish","15 sell","","","NO","","","400.0","0.0025","1000.0","76.8025","76.815","76.7275","4","307210.0","7445.0","6.0","0.075","30.0","75.0","300.0","4.03","-0.0125","-5.0","-12.5","-50.0","-0.67","SL Exit","0","https://iili.io/VQdNup.png","","0.0","-50.0"
"20","usdinr","Thu Apr 28 22:12:24 IST 2022","Sell","Daily- Uptrend, price at supply zone
3H-Uptrend, 2HL
1H- Distribution","bearish","15 sell","no trade if price does not reverse from supply zone","","NO","","","400.0","0.0025","1000.0","76.6925","76.7425","76.4575","4","306770.0","7446.0","5.0","0.235","94.0","235.0","940.0","12.62","-0.05","-20.0","-50.0","-200.0","-2.69","Ignore","0","https://iili.io/VQwVTX.png","","0.0","0.0"
"21","usdinr","Thu Apr 28 22:28:02 IST 2022","Sell","Daily- Uptrend, price at supply zone
3H-Uptrend, 2HL
1H- Distribution","bearish","15 sell","no trade if price does not reverse from supply zone","","NO","","","400.0","0.0025","1000.0","76.695","76.7425","76.4575","4","306780.0","7446.0","5.0","0.2375","95.0","237.5","950.0","12.76","-0.0475","-19.0","-47.5","-190.0","-2.55","Ignore","0","https://iili.io/VQwVTX.png","","0.0","0.0"
"22","usdinr","Fri Apr 29 00:45:16 IST 2022","Sell","Daily-Downtrend
3H-Downtrend with retracement of 3HL, price tapping supply zone
1H- distribution with ease of movement on downside","bearish","15m sell","no trade if price does not reverse from supply zone","","NO","","","400.0","0.0025","1000.0","76.9125","76.955","76.695","4","307650.0","7446.0","5.0","0.2175","87.0","217.5","870.0","11.68","-0.0425","-17.0","-42.5","-170.0","-2.28","Watchful","0","https://iili.io/VZBQ9e.png","","0","0"
"23","usdinr","Fri Apr 29 11:46:07 IST 2022","Buy","oveall bearish but price near demand zone","bullish","15 buy","no trade if no reversal from demand zone","","NO","","trade taken in haste and SL gone based on LTF instead of entry time frame.
in downtrend taken buy trade from demand zone","400.0","0.0025","1000.0","76.685","76.66","76.7875","4","306740.0","7513.0","4.0","0.1025","41.0","102.5","410.0","5.46","-0.025","-10.0","-25.0","-100.0","-1.33","SL Exit","0","https://iili.io/Vm13P4.png","","0.0","-100.0"
"24","usdinr","Fri Apr 29 16:14:21 IST 2022","Sell","Daily-Downtrend 3H-Downtrend with retracement of 3HL, price tapping supply zone 1H- downtrend","bearish","15m sell","no trade if price does not reverse from supply zone","","NO","","","400.0","0.0025","1000.0","76.6375","76.6975","76.4225","4","306550.0","7431.0","4.0","0.215","86.0","215.0","860.0","11.57","-0.06","-24.0","-60.0","-240.0","-3.23","SL Exit","0","https://iili.io/WHomJa.png","","0.0","-240.0"
"25","usdinr","Sat Apr 30 21:11:05 IST 2022","Sell","weekly/daily/4H- overall downtrend
1H-downtrend with 3LH","bearish","extreme zone as zone above already tested
Risk entry 1H sell","if price reverse before the extreme zone look for supply zone in LRF with confirmation entry","","NO","","","400.0","0.0025","1000.0","76.79","76.9025","76.39","3","230370.0","5578.0","4.0","0.4","160.0","400.0","1200.0","21.51","-0.1125","-45.0","-112.5","-337.5","-6.05","Ignore","0","https://iili.io/WfnTqx.png","","0.0","0.0"
"26","usdinr","Sat Apr 30 21:19:41 IST 2022","Sell","weekly/daily/4H- overall downtrend
1H-downtrend with 3LH","bearish","extreme zone as zone above already tested
Risk entry 1H sell","if price reverse before the extreme zone look for supply zone in LRF with confirmation entry","","NO","","","400.0","0.0025","1000.0","76.79","76.9025","76.39","3","230370.0","5578.0","3.56","0.4","160.0","400.0","1200.0","21.51","-0.1125","-45.0","-112.5","-337.5","-6.05","Go for it","0","https://iili.io/WfnTqx.png","","0","0"
"27","usdinr","Mon May 02 13:19:05 IST 2022","Buy","weekly/daily/4H- overall downtrend 1H-downtrend with 3LH","counter trend bullish small move till supply zone","5m buy","","","NO","","Hasty trade","400.0","0.0025","1000.0","76.63","76.6175","76.6775","3","229890.0","5618.0","3.8","0.0475","19.0","47.5","142.5","2.54","-0.0125","-5.0","-12.5","-37.5","-0.67","SL Exit","0","","","0.0","-37.5"
"28","usdinr","Tue May 03 18:19:55 IST 2022","Buy","weekly- uptrend
Daily-Uptrend with 2HH
1H- price on retracement tapping supply zone and made 3 HL
price approaching demand zone to make 4th HL","bullish","1H buy  risk entry","","","NO","","","400.0","0.0025","1000.0","76.3575","76.295","76.6275","4","305430.0","7484.0","4.32","0.27","108.0","270.0","1080.0","14.43","-0.0625","-25.0","-62.5","-250.0","-3.34","Practice","0","https://beeimg.com/images/v11205356962.png","","0.0","0.0"
"29","usdinr","Wed May 04 11:55:34 IST 2022","Sell","weekly/daily/4H- overall downtrend 1H-downtrend with 3LH","weekly/daily/4H- overall downtrend 1H-downtrend with 3LH","extreme zone as zone above already tested Risk entry 1H sell","","","NO","","SL moved little more above the high wick which turned out to be good as price touched original SL of 76.7750

Avoided zones that are even tapped ones and considered zone which is fresh and took risk entry

Refined entry on 5m but exist based on 1H timeframe","400.0","0.0025","1000.0","76.7275","76.775","76.39","4","306910.0","7396.0","7.11","0.3375","135.0","337.5","1350.0","18.25","-0.0475","-19.0","-47.5","-190.0","-2.57","Target Exit","1","https://beeimg.com/images/c45705923672.png","168379,168379,244712,96924","3.57","822.0"
"30","usdinr","Thu May 05 10:56:27 IST 2022","Sell","weekly/daily/4H- overall downtrend 1H-downtrend with 3LH","bearish","1H Sell refined in 15m with confirmation entry, gap likely to get filled and reverse again","trade only  if confirmation of reversal from supply zone after gap filled","","NO","","","400.0","0.0025","1000.0","76.5925","76.675","76.1825","4","306370.0","7364.0","4.97","0.41","164.0","410.0","1640.0","22.27","-0.0825","-33.0","-82.5","-330.0","-4.48","Go for it","0","","","0.0","0.0"
"31","usdinr","Fri May 06 11:53:04 IST 2022","Sell","overall downtrend with first BoS with gap up","huge gap up in the morning...looking to fill the gap with short trade","sell 1H","","","NO","","should have wait for confirmation entry for gap fill trade","400.0","0.0025","1000.0","76.8975","76.945","76.425","4","307590.0","7365.0","9.95","0.4725","189.0","472.5","1890.0","25.66","-0.0475","-19.0","-47.5","-190.0","-2.58","SL Exit","0","https://beeimg.com/images/j27073954862.png","","0.0","-190.0"
"32","usdinr","Fri May 06 12:31:45 IST 2022","Sell","overall downtrend with first BoS with gap up","huge gap up in the morning...looking to fill the gap with short trade","sell 1H","","","NO","","i was too keen to take trade should have shown patience to wait for confirm market structure","400.0","0.0025","1000.0","77.035","77.075","76.87","4","308140.0","7367.0","4.13","0.165","66.0","165.0","660.0","8.96","-0.04","-16.0","-40.0","-160.0","-2.17","SL Exit","0","https://beeimg.com/images/s57326978872.png","","0.0","-160.0"
"33","usdinr","Fri May 06 14:28:24 IST 2022","Sell","overall downtrend with first BoS with gap up","huge gap up in the morning...looking to fill the gap with short trade","sell 1H","","","NO","","slippage also not adhered rule of stop trading of loose 2 trades in a day","400.0","0.0025","1000.0","76.975","77.0425","76.7275","4","307900.0","7367.0","3.67","0.2475","99.0","247.5","990.0","13.44","-0.0675","-27.0","-67.5","-270.0","-3.66","SL Exit","0","https://beeimg.com/images/k26760165942.png","485196,516725","0.0","-500.0"
"34","usdinr","Fri May 06 17:47:40 IST 2022","Buy","D/W/4H/1H-Strong uptrend","bullish","15m buy, demand zone below equal low liquidity(risk entry)","no trade if price does not reverse from demand zone","","NO","","","400.0","0.0025","1000.0","76.8575","76.8075","77.2225","4","307430.0","7448.0","7.3","0.365","146.0","365.0","1460.0","19.6","-0.05","-20.0","-50.0","-200.0","-2.69","Ignore","0","https://beeimg.com/images/z89111064952.png","","0.0","0.0"
"35","usdinr","Sat May 07 16:14:45 IST 2022","Buy","test","test","ets","test","","NO","","","400.0","0.0025","1000.0","76.1275","76.1075","76.1975","4","304510.0","7540.0","3.5","0.07","28.0","70.0","280.0","3.71","-0.02","-8.0","-20.0","-80.0","-1.06","Go for it","0","","","0","0"
